camera_name,lat,lon
13 Commerce Rd,40.864972,-74.224478
525 Pompton Rd,40.851719,-74.228736
Community Park,40.861436,-74.226236
E4-Depot Square Park,40.896939,-73.974433
E3- Hamilton Avenue,40.902442,-73.972092
E2- Forest Avenue,40.887942,-73.984992
E1- Wilbur Street,40.895069,-73.985061
L2-Church Culvert,40.865008,-73.986897
L1-Broad Ave,40.864203,-73.986283
L3 - Broad Ave 2,40.864186,-73.986039
LF1 - LIndsley Rd,40.872125,-74.222283
LF2 - E Main St,40.878019,-74.219467
LF3 - DPW Yard,40.884669,-74.218119
LF4 - Williams St,40.888675,-74.242211
P3-11th Ave and East 25th,40.921817,-74.148856
P4 - Getty Ave,40.902769,-74.164011
P2 - Presidential Blvd,40.924681,-74.16925
P1 - 5th Ave & E 6th St,40.936122,-74.161739
Peckmantown Rd,40.854572,-74.229431
PF - Milton Park,40.636,-74.403447
PF1 - Berkley Terrace,40.639322,-74.408544
PF2 - Netherwood Ave,40.634658,-74.412997
PF3 - Watchung Ave,40.618911,-74.419831
PF4 - Stelle Ave,40.608708,-74.413053
PF5 - Leland Ave,40.637158,-74.414161
R1 - Jefferson Ave,40.608358,-74.290656
R2 - Minor Bridge,40.598872,-74.294653
R3 - St George Ave and Murray,40.595214,-74.289797
R4 - NB Ave,40.593653,-74.290706
R5 - E Hazelwood Ave,40.600203,-74.274386
RUgby RD Ridge Rd,40.84935,-74.222947
SP1 - TD Bank,40.652886,-74.401258
SP2 - Senger Pl,40.6501,-74.399272
SP3 - East Second St,40.649633,-74.39665
V1 - Sunset Ave,40.825511,-74.240106
V2 - Bloomfield Ave,40.831219,-74.244
V3 - Linden Ave,40.836011,-74.242578
V4-Ozone ave,40.844939,-74.235189
WL1 - McBride Ave,40.893597,-74.202344
WL2 - Lackawanna Ave,40.888039,-74.207958
WL4 - AndrewsDr,40.887183,-74.214528
WL6 - Memorial Drive,40.892281,-74.209694
WL7 - HRomaik Tr,40.890111,-74.206736
WW1 - Wesrtwood Plaza,40.997439,-74.040164
WW2 - Fairview Ave,40.998861,-74.035444
WW3 - Brookside Park,40.998508,-74.030147
WW4 - Bridge By DPW,40.992925,-74.020758
D1- N Morris Street,40.885072,-74.5575
D2 - E Blackwell Street,40.885431,-74.546858
D3 - Princeton Ave,40.889247,-74.570006
T1 - Lincoln Ave,40.908653,-74.204147
T2 - Elizabeth Pl,40.907353,-74.205203
T3 - Riverview Dr,40.888417,-74.222778
T4 - Riverview Dr(2),40.890858,-74.220192
T5 - Vreeland Ave,40.902389,-74.237389
I1 - Madison Ave,40.733497,-74.232481
I2 - Clinton Ave,40.728708,-74.233603
I3 - Lyons Ave,40.722369,-74.234769
I4 - 40 Yale Ave,40.719039,-74.237442
I5 - Chancellor Park,40.712944,-74.240783